Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Terra_MOD13A3
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-03-01,MASA,0.4209
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-03-01,MASA,0.2626
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-03-01,MASA,0.257
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-03-01,MASA,0.5099
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-03-01,MASA,0.3635
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-03-01,MASA,0.4249
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-03-01,MASA,0.4501
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-03-01,MASA,0.25730000000000003
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-04-01,MASA,0.4567
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-04-01,MASA,0.3074
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-04-01,MASA,0.253
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-04-01,MASA,0.1467
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-04-01,MASA,0.0317
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-04-01,MASA,0.4189
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-04-01,MASA,0.4359
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-04-01,MASA,0.5795
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-04-01,MASA,0.35250000000000004
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-04-01,MASA,0.42750000000000005
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-04-01,MASA,0.6706000000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-04-01,MASA,0.49820000000000003
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-04-01,MASA,0.41600000000000004
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-04-01,MASA,0.4016
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-04-01,MASA,0.3982
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-05-01,MASA,0.44930000000000003
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-05-01,MASA,0.3785
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-05-01,MASA,0.2881
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-05-01,MASA,0.193
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-05-01,MASA,-0.027
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-05-01,MASA,0.3639
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-05-01,MASA,0.4509
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-05-01,MASA,0.5774
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-05-01,MASA,0.2936
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-05-01,MASA,0.468
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-05-01,MASA,0.6162000000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-05-01,MASA,0.5419
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-05-01,MASA,0.38270000000000004
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-05-01,MASA,0.31010000000000004
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-05-01,MASA,0.5048
