Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Terra_MOD13A3
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-03-01,MASA,0.19740000000000002
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-03-01,MASA,0.2404
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-03-01,MASA,0.1767
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-03-01,MASA,0.11320000000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-03-01,MASA,0.2755
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-03-01,MASA,0.1748
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-03-01,MASA,0.2272
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-03-01,MASA,0.2647
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-03-01,MASA,0.1252
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-04-01,MASA,0.2599
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-04-01,MASA,0.1506
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-04-01,MASA,0.1514
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-04-01,MASA,0.09580000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-04-01,MASA,0.006900000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-04-01,MASA,0.2788
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-04-01,MASA,0.2393
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-04-01,MASA,0.3901
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-04-01,MASA,0.24200000000000002
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-04-01,MASA,0.24100000000000002
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-04-01,MASA,0.4666
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-04-01,MASA,0.279
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-04-01,MASA,0.2505
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-04-01,MASA,0.2524
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-04-01,MASA,0.2036
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-05-01,MASA,0.2599
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-05-01,MASA,0.1821
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-05-01,MASA,0.1607
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-05-01,MASA,0.1285
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-05-01,MASA,-0.0059
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-05-01,MASA,0.2331
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-05-01,MASA,0.2534
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-05-01,MASA,0.3699
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-05-01,MASA,0.201
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-05-01,MASA,0.2544
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-05-01,MASA,0.3947
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-05-01,MASA,0.3191
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-05-01,MASA,0.233
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-05-01,MASA,0.1966
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-05-01,MASA,0.31870000000000004
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-06-01,MASA,0.24180000000000001
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-06-01,MASA,0.2702
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-06-01,MASA,0.1524
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-06-01,MASA,0.1173
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-06-01,MASA,0.050800000000000005
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-06-01,MASA,0.13090000000000002
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-06-01,MASA,0.3811
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-06-01,MASA,0.1656
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-06-01,MASA,0.1589
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-06-01,MASA,0.29910000000000003
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-06-01,MASA,0.4015
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-06-01,MASA,0.37
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-06-01,MASA,0.2614
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-06-01,MASA,0.1746
