Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Aqua_MYD13A3
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-08-01,MASA,0.1647
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-08-01,MASA,0.15460000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-08-01,MASA,0.056100000000000004
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-08-01,MASA,0.4259
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-08-01,MASA,0.4021
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-08-01,MASA,0.1403
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-08-01,MASA,0.2119
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-08-01,MASA,0.3014
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-08-01,MASA,0.302
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-08-01,MASA,0.3003
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-08-01,MASA,0.37060000000000004
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-08-01,MASA,0.4097
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-08-01,MASA,0.26130000000000003
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-09-01,MASA,0.19340000000000002
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-09-01,MASA,0.3786
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-09-01,MASA,0.1832
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-09-01,MASA,0.12290000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-09-01,MASA,0.056100000000000004
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-09-01,MASA,0.43320000000000003
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-09-01,MASA,0.3406
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-09-01,MASA,0.1342
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-09-01,MASA,0.20350000000000001
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-09-01,MASA,0.3037
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-09-01,MASA,0.2911
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-09-01,MASA,0.3032
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-09-01,MASA,0.2827
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-09-01,MASA,0.3125
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-09-01,MASA,0.2487
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-10-01,MASA,0.1713
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-10-01,MASA,0.3262
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-10-01,MASA,0.1469
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-10-01,MASA,0.1143
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-10-01,MASA,-0.015300000000000001
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-10-01,MASA,0.312
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-10-01,MASA,0.34890000000000004
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-10-01,MASA,0.1211
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-10-01,MASA,0.1714
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-10-01,MASA,0.2576
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-10-01,MASA,0.23470000000000002
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-10-01,MASA,0.2787
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-10-01,MASA,0.27440000000000003
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-10-01,MASA,0.2535
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-10-01,MASA,0.1337
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-11-01,MASA,0.1822
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-11-01,MASA,0.2898
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-11-01,MASA,0.1343
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-11-01,MASA,0.1183
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-11-01,MASA,-0.0546
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-11-01,MASA,0.20770000000000002
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-11-01,MASA,0.2772
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-11-01,MASA,0.12000000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-11-01,MASA,0.1719
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-11-01,MASA,0.2404
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-11-01,MASA,0.19060000000000002
