Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Aqua_MYD13A3
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-10-01,MASA,0.21250000000000002
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-10-01,MASA,0.2812
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-10-01,MASA,0.5364
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-10-01,MASA,0.5572
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-10-01,MASA,0.6224000000000001
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-10-01,MASA,0.44210000000000005
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-10-01,MASA,0.38780000000000003
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-10-01,MASA,0.3655
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-11-01,MASA,0.34840000000000004
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-11-01,MASA,0.48960000000000004
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-11-01,MASA,0.24550000000000002
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-11-01,MASA,0.1966
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-11-01,MASA,-0.1381
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-11-01,MASA,0.391
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-11-01,MASA,0.5139
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-11-01,MASA,0.2179
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-11-01,MASA,0.29910000000000003
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-11-01,MASA,0.46330000000000005
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-11-01,MASA,0.5838
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-11-01,MASA,0.5399
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-11-01,MASA,0.4676
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-11-01,MASA,0.40700000000000003
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-11-01,MASA,0.224
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-12-01,MASA,0.30310000000000004
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-12-01,MASA,0.41240000000000004
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-12-01,MASA,0.23470000000000002
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-12-01,MASA,0.1661
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-12-01,MASA,-0.1374
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-12-01,MASA,0.3518
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-12-01,MASA,0.4616
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-12-01,MASA,0.21830000000000002
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-12-01,MASA,0.305
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-12-01,MASA,0.5114000000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-12-01,MASA,0.3447
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-12-01,MASA,0.4873
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-12-01,MASA,0.4343
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-12-01,MASA,0.3785
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-12-01,MASA,0.1718
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2004-01-01,MASA,0.306
Mazandaran,23.7,99309,36.48,52.47,Amol,2004-01-01,MASA,0.3393
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2004-01-01,MASA,0.22410000000000002
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2004-01-01,MASA,0.1333
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2004-01-01,MASA,-0.0864
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2004-01-01,MASA,0.3244
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2004-01-01,MASA,0.36010000000000003
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2004-01-01,MASA,0.199
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2004-01-01,MASA,0.2596
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2004-01-01,MASA,0.3497
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2004-01-01,MASA,0.31070000000000003
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2004-01-01,MASA,0.4314
