Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,CHIRPS
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1990-12-01,MASA,77.62032079696655
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1990-12-01,MASA,290.5969696044922
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1991-01-01,MASA,183.44510447978973
Mazandaran,23.7,99309,36.48,52.47,Amol,1991-01-01,MASA,118.42109322547913
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1991-01-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1991-01-01,MASA,184.3069624900818
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1991-01-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1991-01-01,MASA,79.4043447971344
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1991-01-01,MASA,117.91731119155884
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1991-01-01,MASA,148.98969078063965
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1991-01-01,MASA,167.92677569389343
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1991-01-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1991-01-01,MASA,105.58085453510284
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1991-01-01,MASA,81.32296800613403
Mazandaran,23.0,40759,36.54,53.0,Sari,1991-01-01,MASA,103.89980578422546
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1991-01-01,MASA,88.93377161026001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1991-01-01,MASA,168.13917589187622
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1991-02-01,MASA,124.45308017730713
Mazandaran,23.7,99309,36.48,52.47,Amol,1991-02-01,MASA,73.72219848632812
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1991-02-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1991-02-01,MASA,106.20879006385803
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1991-02-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1991-02-01,MASA,42.11344528198242
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1991-02-01,MASA,75.92153525352478
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1991-02-01,MASA,66.60107564926147
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1991-02-01,MASA,104.81473159790039
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1991-02-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1991-02-01,MASA,98.8357343673706
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1991-02-01,MASA,106.9128246307373
Mazandaran,23.0,40759,36.54,53.0,Sari,1991-02-01,MASA,60.420379638671875
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1991-02-01,MASA,50.60639762878418
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1991-02-01,MASA,106.49568176269531
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1991-03-01,MASA,236.13349151611328
Mazandaran,23.7,99309,36.48,52.47,Amol,1991-03-01,MASA,92.73781204223633
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1991-03-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1991-03-01,MASA,304.75735092163086
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1991-03-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1991-03-01,MASA,62.270612716674805
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1991-03-01,MASA,92.49893760681152
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1991-03-01,MASA,64.92257308959961
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1991-03-01,MASA,171.7361888885498
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1991-03-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1991-03-01,MASA,124.94883346557617
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1991-03-01,MASA,138.40952110290527
Mazandaran,23.0,40759,36.54,53.0,Sari,1991-03-01,MASA,96.56273365020752
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1991-03-01,MASA,83.53069162368774
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1991-03-01,MASA,412.7345390319824
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1991-04-01,MASA,39.029720306396484
Mazandaran,23.7,99309,36.48,52.47,Amol,1991-04-01,MASA,16.775331020355225
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1991-04-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1991-04-01,MASA,111.23299407958984
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1991-04-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1991-04-01,MASA,11.006391525268555
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1991-04-01,MASA,33.364266872406006
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1991-04-01,MASA,15.283971786499023
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1991-04-01,MASA,76.76747703552246
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1991-04-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1991-04-01,MASA,28.894487380981445
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1991-04-01,MASA,28.765408039093018
Mazandaran,23.0,40759,36.54,53.0,Sari,1991-04-01,MASA,24.61281108856201
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1991-04-01,MASA,21.981893062591553
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1991-04-01,MASA,134.43838500976562
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1991-05-01,MASA,36.15701079368591
Mazandaran,23.7,99309,36.48,52.47,Amol,1991-05-01,MASA,25.225202560424805
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1991-05-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1991-05-01,MASA,27.6308331489563
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1991-05-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1991-05-01,MASA,21.320556163787842
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1991-05-01,MASA,22.849279403686523
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1991-05-01,MASA,27.64042329788208
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1991-05-01,MASA,20.299768447875977
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1991-05-01,MASA,
