Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,TerraClimate
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1981-09-01,MASA,218
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1981-09-01,MASA,77
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1981-09-01,MASA,146
Mazandaran,23.0,40759,36.54,53.0,Sari,1981-09-01,MASA,168
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1981-09-01,MASA,143
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1981-09-01,MASA,7
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1981-10-01,MASA,21
Mazandaran,23.7,99309,36.48,52.47,Amol,1981-10-01,MASA,127
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1981-10-01,MASA,123
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1981-10-01,MASA,13
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1981-10-01,MASA,45
