system:index,Province,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,mean,precipitation_mm,.geo
200005_0000000000000000000b,Mazandaran,-21.0,40736,36.699,52.643,Babolsar,2000-05,0.020067519983342663,20.067519983342663,"{""type"":""Point"",""coordinates"":[52.6430010480113,36.69899918940074]}"
200005_0000000000000000000c,Mazandaran,-20.9,40734,36.661,51.466,Nowshahr,2000-05,0.0693111638632331,69.3111638632331,"{""type"":""Point"",""coordinates"":[51.465999029448994,36.66099873022328]}"
200005_0000000000000000000d,Mazandaran,-20.0,40732,36.905,50.684,Ramsar,2000-05,0.08996780916123726,89.96780916123726,"{""type"":""Point"",""coordinates"":[50.684002018605135,36.90500073986783]}"
200005_0000000000000000000e,Mazandaran,16.7,40788,36.64,53.195,Sari (dasht-e-naz airport),2000-05,0.03196801944642402,31.968019446424023,"{""type"":""Point"",""coordinates"":[53.195002085619485,36.6400008233626]}"
200005_0000000000000000000f,Gilan,-23.6,40718,37.48,49.458,Bandar-e-anzali,2000-05,0.059375099381497876,59.375099381497876,"{""type"":""Point"",""coordinates"":[49.45799893856652,37.48000182070969]}"
200005_00000000000000000010,Gilan,1581.4,40805,36.708,49.802,Jirandeh,2000-05,0.020947150429776684,20.947150429776684,"{""type"":""Point"",""coordinates"":[49.80200074843565,36.70800211442765]}"
200005_00000000000000000011,Gilan,-22.0,99268,37.417,49.883,Kiyashahr,2000-05,0.06047963305383064,60.47963305383064,"{""type"":""Point"",""coordinates"":[49.883000319071506,37.41699918192554]}"
200005_00000000000000000012,Gilan,34.2,99276,37.194,50.016,Lahijan,2000-05,0.09225793882279731,92.25793882279731,"{""type"":""Point"",""coordinates"":[50.01600192619263,37.193999538242714]}"
200005_00000000000000000013,Gilan,338.3,40720,36.729,49.41,Manjil,2000-05,0.027135394057324902,27.135394057324902,"{""type"":""Point"",""coordinates"":[49.41000117482722,36.72900002128832]}"
200005_00000000000000000014,Gilan,1081.0,99281,37.15,48.983,Masuleh,2000-05,0.0593723724689994,59.3723724689994,"{""type"":""Point"",""coordinates"":[48.9830021170503,37.15000158814836]}"
200005_00000000000000000015,Gilan,24.8,99272,37.203,49.645,Rasht (agricultulal),2000-05,0.0694649885502372,69.4649885502372,"{""type"":""Point"",""coordinates"":[49.645000259444885,37.20299800416857]}"
200005_00000000000000000016,Gilan,-21.1,40709,38.365,48.855,Astara,2000-05,0.0724685411062751,72.4685411062751,"{""type"":""Point"",""coordinates"":[48.85499916221009,38.36499960678709]}"
200005_00000000000000000017,Gilan,7.0,99249,37.839,48.897,Talesh,2000-05,0.1033034096565757,103.3034096565757,"{""type"":""Point"",""coordinates"":[48.89699943503249,37.838999587421554]}"
200005_00000000000000000018,Gilan,-8.6,40719,37.323,49.624,Rasht,2000-05,0.06179273827939369,61.79273827939369,"{""type"":""Point"",""coordinates"":[49.62399789348315,37.32300133171889]}"
200006_00000000000000000000,Mazandaran,23.0,40759,36.536,52.998,Sari,2000-06,0.06954569889935058,69.54569889935058,"{""type"":""Point"",""coordinates"":[52.997999001078234,36.53600120949307]}"
200006_00000000000000000001,Mazandaran,-20.0,99306,36.856,53.386,Bandar-e-amirabad,2000-06,0.04369334651859802,43.69334651859802,"{""type"":""Point"",""coordinates"":[53.38599876104172,36.85599967839152]}"
200006_00000000000000000002,Mazandaran,2120.0,99357,36.198,51.801,Baladeh,2000-06,0.09762824847134155,97.62824847134155,"{""type"":""Point"",""coordinates"":[51.80099791429122,36.198001349641885]}"
200006_00000000000000000003,Mazandaran,-10.0,99299,36.738,53.837,Galugah,2000-06,0.06058129443558258,60.58129443558258,"{""type"":""Point"",""coordinates"":[53.83700115978934,36.73799848721418]}"
200006_00000000000000000004,Mazandaran,14.7,40737,36.487,52.108,Gharakhil,2000-06,0.0993407495203833,99.3407495203833,"{""type"":""Point"",""coordinates"":[52.10799810361887,36.48700014801676]}"
200006_00000000000000000005,Mazandaran,1294.3,40760,36.248,53.546,Kiyasar,2000-06,0.0915895081940512,91.5895081940512,"{""type"":""Point"",""coordinates"":[53.54600022504147,36.24800124975417]}"
200006_00000000000000000006,Mazandaran,1805.0,99361,36.071,52.843,Alasht,2000-06,0.0772193647805075,77.2193647805075,"{""type"":""Point"",""coordinates"":[52.84300064846047,36.07100169253869]}"
